#LondonShooting,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet
1.20044E+18,29-11-2019 21:09,,FALSE,FALSE,,3,0,0,"Bird on BBC News literally just told a member of the public who was giving an eye-witness account to “make a strong cup of tea”

This has to be the most English thing ever! 

#LondonShooting  #LondonBridge",/JL_SM_THFC/status/1200439055491706886,196300893,JL_SM_THFC
1.20044E+18,29-11-2019 21:09,,FALSE,FALSE,,33,2,0,The police officer involved will more than likely serve a suspension and face a massive trial for getting to the scene (within seconds) and stop numerous civilians from inevitably being in serious danger. #LondonShooting,/SouthBankMatt/status/1200439072734547971,215431727,SouthBankMatt
1.20044E+18,29-11-2019 21:09,,FALSE,FALSE,,2,0,0,Wow. I’m absolutely sick of this and the lack of action #LondonShooting  #londonbridge  #terrorattack pic.twitter.com/YRLPuLp3gd,/Bringmemybow1/status/1200439086164652042,1.10334E+18,Bringmemybow1
1.20044E+18,29-11-2019 21:09,,FALSE,FALSE,,6,0,0,Massive respect to the public who detained the man who had a knife at London Bridge takes huge courage to do what they did and I hope they get recognition for it #LondonShooting,/alex_wright7/status/1200439095505371136,200593700,alex_wright7
1.20044E+18,29-11-2019 21:09,,FALSE,FALSE,,0,0,0,The scene around Bank station now after #LondonShooting   pic.twitter.com/WXPSJ7Wjbn,/Londoner_Tony/status/1200439162354249730,7.92425E+17,Londoner_Tony
1.20044E+18,29-11-2019 21:09,,FALSE,FALSE,,2,0,0,Well done to the police today dealing with the incident on In London in London Bridge / Tower Bridge.  Don’t believe Pinocchio and his false promises of spending on police and the NHS we ALL need both. #LondonShooting  #ToriesOut  #VoteLabour2019,/DrunkenOracle/status/1200439184042975232,56214515,DrunkenOracle
1.20044E+18,29-11-2019 21:09,,TRUE,FALSE,,11,1,0,"100% appropriate. You shoot only to stop the threat. Looks like Taser has been used but ineffective. Ergo, threat not stopped. 

From what I see here a chest shot isn't possible hence the head shot.  Threat stopped, incident over.

This ain't the movies. 

#LondonShooting  #London",/smethwickmon/status/1200439210597064705,2957917314,smethwickmon
1.20044E+18,29-11-2019 21:09,,FALSE,FALSE,,62,16,46,On @lbc  right now a caller is saying his mum was on a bus and that the man was wearing a suicide belt! #lbc  #LondonShooting,/Naughty_Nat86/status/1200439249629274115,391773750,Naughty_Nat86
1.20044E+18,29-11-2019 21:09,,FALSE,FALSE,,0,0,0,# LondonShooting  I bet it was unai Emery,/josh1639080398/status/1200439249956417539,1.12421E+18,josh1639080398
1.20044E+18,29-11-2019 21:10,,TRUE,FALSE,,1,1,0,"I'm sure in a year the deceased scum's family will take the policeman and @metpoliceuk  to court for unlawful killing and want millions in compensation, with #JeremyCorbyn  and #OwenJones  as witnesses in the dock #LondonShooting  #LondonBridge  #London",/SnowflakeAssas1/status/1200439352863739904,7.97464E+17,SnowflakeAssas1
1.20044E+18,29-11-2019 21:10,,FALSE,FALSE,,1,1,0,What previous Terrie or not incidents taught us is to remain calm and wait for the facts. Any rushing conclusions are only harming and potentially dangerous in a pre election period. #LondonShooting   https:// twitter.com/metpoliceuk/st atus/1200434865889579008   …,/EvdoxiaL/status/1200439397851828225,377372083,EvdoxiaL
1.20044E+18,29-11-2019 21:10,,FALSE,FALSE,,6,0,0,"Looks like our Londoners are the heroes here. God bless London.

#LondonShooting  #londonersstandtall",/DJMalu_official/status/1200439443754246144,22493542,DJMalu_official
1.20044E+18,29-11-2019 21:10,,FALSE,FALSE,,211,2,11,The man that restrained the shooter down is so fucking brave what a hero    #LondonShooting,/honorrogersx/status/1200439497118437377,7.05121E+17,honorrogersx
1.20044E+18,29-11-2019 21:11,TRUE,FALSE,FALSE,['https://t.co/AX33yjaqho'],3,0,3,London Bridge: People 'injured' after stabbing #LondonShooting    https://www. bbc.co.uk/news/uk-506047 81   …,/machadolarralde/status/1200439554160893954,1248408648,machadolarralde
1.20044E+18,29-11-2019 21:11,,FALSE,FALSE,,1,0,0,Why aren't @SkyNewsBreak  showing the full video? We now know the guy who had disarmed the attacker didn't get shot. #LondonShooting   https:// twitter.com/mattwyre/statu s/1200438492934877184   …,/mancboy1/status/1200439571168792577,464142522,mancboy1
1.20044E+18,29-11-2019 21:11,,FALSE,FALSE,,1,1,0,Just waiting for the conspiracy theorists to come out re London Bridge and election. Note - it’s only the Tories who will so badly from this. #LondonShooting,/Claud_Mendoza/status/1200439666123694080,85614575,Claud_Mendoza
1.20044E+18,29-11-2019 21:11,,FALSE,FALSE,,0,0,0,Stay safe people in London Bridge! #londonbridge  #LondonShooting,/rosannafleur/status/1200439696796639235,52142338,rosannafleur
1.20044E+18,29-11-2019 21:11,,FALSE,FALSE,,0,0,0,London Bridge incident 'treated as if terror-related' after five people injured   https://www. theguardian.com/uk-news/live/2 019/nov/29/london-bridge-incident-police-city?CMP=twt_gu&utm_medium=&utm_source=Twitter#Echobox=1575041900   …  #LondonShooting   pic.twitter.com/igtHFEivLH,/MrLachris/status/1200439749816848384,484999518,MrLachris
1.20044E+18,29-11-2019 21:11,,FALSE,FALSE,,0,1,0,Police clearing the approach to #londonbridge  after the #LondonShooting  - some people arguing back! @BBCLondonNews pic.twitter.com/yvwJTytvHZ,/Londoner_Tony/status/1200439756133416960,7.92425E+17,Londoner_Tony
1.20044E+18,29-11-2019 21:11,TRUE,FALSE,FALSE,['https://t.co/TsnjUrWaw8'],14,1,6,Once again. #terrorism  #London  #LondonShooting      https:// metro.co.uk/2019/11/29/lon don-bridge-evacuated-reports-shooting-11240927/   …,/trapwire/status/1200439756888461314,3157995554,trapwire
1.20044E+18,29-11-2019 21:11,,FALSE,FALSE,,10,0,0,"If you’re going around London with a massive knife, stabbing people, you deserve everything you get. Probably an unpopular opinion nowadays, but   

Brave, brave people that disarmed him. Must have been terrifying for them. #LondonShooting  #londonbridge",/TopicalTeacup/status/1200439763129507847,363812258,TopicalTeacup
1.20044E+18,29-11-2019 21:11,,FALSE,FALSE,,1817,42,337,"To the police officer who shot the terrorist on london bridge, your a hero in my eyes, you should be given the police services version of the distinguished conduct medal   #LondonShooting",/luke_mufc19/status/1200439769249001478,1.16937E+18,luke_mufc19
1.20044E+18,29-11-2019 21:12,,FALSE,FALSE,,1,1,0,"Too close for comfort, this #LondonShooting  #LondonBridge pic.twitter.com/gZspGClv8L",/ReeceLockTS/status/1200439797875167232,7.66269E+17,ReeceLockTS
1.20044E+18,29-11-2019 21:12,,FALSE,FALSE,,1,0,0,@ metpoliceuk  Hugely thankful and proud of you guys today. #LondonShooting,/ChrisCook1979/status/1200439802023284736,8.65901E+17,ChrisCook1979
1.20044E+18,29-11-2019 21:12,,FALSE,FALSE,,1,0,0,Stay away from London Bridge #londonbridge  #LondonShooting   https:// twitter.com/fffinderuk/sta tus/1200434464767254528   …,/therainhamend/status/1200439836232036353,1.03169E+18,therainhamend
1.20044E+18,29-11-2019 21:12,,FALSE,FALSE,,9,1,0,What’s the odds his name starts with ‘Mo’ or ‘Mu’? #LondonShooting  #Londonbridge https:// twitter.com/holbornlolz/st atus/1200429338488967168   …,/HRHJaffeJoffer/status/1200439842536148992,8.52856E+17,HRHJaffeJoffer
1.20044E+18,29-11-2019 21:12,,FALSE,FALSE,,20,0,0,Well done to those @metpoliceuk  coppers who didn't hesitate with a terrorist today & even more so well done to those members of public that risked everything in fighting him to the ground! #LondonShooting  #londonbridge,/AndyC_88/status/1200439852598222850,3808166002,AndyC_88
1.20044E+18,29-11-2019 21:12,,TRUE,FALSE,,0,1,0,"From the video its strange why they shot him!

The knife was removed... maybe he had 2? Or other weapons... 

However, If he had none and with all those members of the public and 3 police one with taser gun!

Cue criticism of police! 

#LondonShooting  #londonbride",/ADUK2019/status/1200439909858922497,1.04471E+18,ADUK2019
1.20044E+18,29-11-2019 21:13,,FALSE,FALSE,,7,1,0,"03/06/2017 Terrorist attack- 1 week later General Election (12/06)

28/11/2019 Terrorist attack- 2 weeks later General Election (12/12) 

Watch for the Boris comments about how the UK won't be as safe under Labour!   #london  #GeneralElection  #GE2019  #LondonShooting",/Mark__Dava/status/1200440028373147650,544674724,Mark__Dava
1.20044E+18,29-11-2019 21:13,,FALSE,FALSE,,2,0,0,Change the law on carrying a knife or weapon to protect our people. Straight to prison to serve a minimum fixed term 2 years. Well done Met Police  @10DowningStreet  #knifecrime  #LondonShooting,/PrzemekGruszka/status/1200440077236789250,326464958,PrzemekGruszka
1.20044E+18,29-11-2019 21:13,,FALSE,FALSE,,0,1,0,Police shouting for everyone to move away from London Bridge . #LondonShooting   pic.twitter.com/AmbkTsm94k,/exposed/status/1200440141053136898,7.33929E+17,exposed
1.20044E+18,29-11-2019 21:13,,FALSE,FALSE,,6,0,1,"Well done to that copper on London Bridge, no messing about #terroristswontwin  #LondonShooting  #londonbridge",/Grahamy76/status/1200440226428141574,176715600,Grahamy76
1.20044E+18,29-11-2019 21:13,,FALSE,FALSE,,3,1,0,***Mutes #LondonBridge  #Terrorist  #ISIS   #LondonShooting ***,/Funny_Bird86/status/1200440240311324672,9.39137E+17,Funny_Bird86
1.20044E+18,29-11-2019 21:13,,FALSE,FALSE,,1,0,0,"🄱🅁🄴🄰🄺🄸🄽🄶 🄽🄴🅆🅂 
  London Bridge shooting 
#LondonShooting   pic.twitter.com/uJp6LY5kNH",/Funthomas_1/status/1200440247064104961,1.15936E+18,Funthomas_1
1.20044E+18,29-11-2019 21:13,,FALSE,FALSE,,228,6,24,Hoping our pals in London are safe this afternoon and giving thanks to our Police Force and the brave bystanders who stepped in #LondonShooting  #heroes  ,/BraveWinston/status/1200440247080890369,336101037,BraveWinston
1.20044E+18,29-11-2019 21:14,,FALSE,FALSE,,3,1,0,Keep hearing lots of sirens whizzing by the office attending to the London Bridge incident. Stay safe out there people #LondonShooting,/JefferyEmma/status/1200440278190055425,330858504,JefferyEmma
1.20044E+18,29-11-2019 21:14,,TRUE,FALSE,,0,0,0,"Its painful and unaffordable news from well mannered and top civilized city...our best prayers and wishings for the affected/injured...
Stand firmly with #LondonShooting",/UsmanMalikMuha1/status/1200440315678744577,9.99511E+17,UsmanMalikMuha1
